"GitHub ID","Команда","Статус","Трек","SHA","Файлов в снимке","GitHub"
"1370152510","unsupervised","ready","","99bd0aac0fdb4883df4e3e2157bda65ddd9a687e","32","https://github.com/BAITC-Hacks/hack-03a47d56-unsupervised"
"1371341688","Untitled Team","discovered","","","0","https://github.com/BAITC-Hacks/hack-525dd3ce-untitled-team"
"1371344514","Untitled Team","discovered","","","0","https://github.com/BAITC-Hacks/hack-621175e5-untitled-team"
"1361473405","Upside down","discovered","","","0","https://github.com/BAITC-Hacks/hack-b33ebff3-upside-down"
"1381664419","ureslam","discovered","","","0","https://github.com/BAITC-Hacks/hack-63321983-ureslam"
"1381667209","urshkv","ready","","c6b7780c49a1ae48d712cb127368a35fd5559d7c","1","https://github.com/BAITC-Hacks/hack-18bd6b4e-urshkv"
"1374267769","USAnlog","ready","","24a0e490c495fba25ff9fb63b92c8da0645eb92c","5","https://github.com/BAITC-Hacks/hack-10f83c80-usanlog"
"1363812011","USB","discovered","","","0","https://github.com/BAITC-Hacks/hack-65c14aea-usb"
"1370975196","Users","ready","","340dc96077364f1025acf58b778cf417e88ccd43","1","https://github.com/BAITC-Hacks/hack-237a052f-users"
"1363468721","Ushqn AITU","discovered","","","0","https://github.com/BAITC-Hacks/hack-af8c1cd0-ushqn-aitu"
"1371325275","Ushqn AITU","discovered","","","0","https://github.com/BAITC-Hacks/hack-59ffde2d-ushqn-aitu"
"1374364343","Ushqn AITU","discovered","","","0","https://github.com/BAITC-Hacks/hack-92fdaf7f-ushqn-aitu"
"1381705599","uwatality","ready","","e59cfa63a50ed2ae1d59785103de967425e4aec3","1","https://github.com/BAITC-Hacks/hack-2072e7e3-uwatality"
"1349692191","UZ","discovered","","","0","https://github.com/BAITC-Hacks/hack-f0c1c7a4-uz"
"1381625426","v9mn8zctbp-crypto","ready","","6b9e8aab7529a3042b358a269032eaf9a00d0236","1","https://github.com/BAITC-Hacks/hack-0f15c768-v9mn8zctbp-crypto"
"1381623945","vaierxq-maker","ready","","4b7184a346e9f1dce5253bca40aee496c1011b29","1","https://github.com/BAITC-Hacks/hack-20632f47-vaierxq-maker"
"1365473598","Vais","ready","","093615b089fa7c6f4ef5f93647030361a786de6d","1","https://github.com/BAITC-Hacks/hack-0d7b09ae-vais"
"1381758247","Valochka19","discovered","","","0","https://github.com/BAITC-Hacks/hack-87f5840f-valochka19"
"1364286051","Vantage AI","discovered","","","0","https://github.com/BAITC-Hacks/hack-7bb3c2d4-vantage-ai"
"1376103492","Vanull","discovered","","","0","https://github.com/BAITC-Hacks/hack-c54b1522-vanull"
"1381671015","Vasek472","ready","","791ab01bce3a7c2f6499b8292580a012d53ac67d","1","https://github.com/BAITC-Hacks/hack-2d5dffa3-vasek472"
"1381709549","vasilenkomikhail1980-dotcom","discovered","","","0","https://github.com/BAITC-Hacks/hack-9e7519b5-vasilenkomikhail1980-dotcom"
"1370965692","Vasya","discovered","","","0","https://github.com/BAITC-Hacks/hack-c1eb12a4-vasya"
"1381633367","vavail","ready","","b89cebec71f739ba5e746405734d191f3cf33113","1","https://github.com/BAITC-Hacks/hack-1f40415f-vavail"
"1374465760","Vax-Dealers","discovered","","","0","https://github.com/BAITC-Hacks/hack-e935193d-vax-dealers"
"1381350771","Vector","discovered","","","0","https://github.com/BAITC-Hacks/hack-5f84cc63-vector"
"1358975688","Vector field","discovered","","","0","https://github.com/BAITC-Hacks/hack-836cc3bf-vector-field"
"1371367457","Vector field","discovered","","","0","https://github.com/BAITC-Hacks/hack-e1cdbbe0-vector-field"
"1361662344","VectorVol","discovered","","","0","https://github.com/BAITC-Hacks/hack-afafbc3c-vectorvol"
"1376934420","veelink","discovered","","","0","https://github.com/BAITC-Hacks/hack-757b0f9b-veelink"
"1368491762","velamen","ready","","fe787e40b0576cde1cb6c2328fb12373e27d67f8","23","https://github.com/BAITC-Hacks/hack-1c5d36cf-velamen"
"1373507670","Velocity","discovered","","","0","https://github.com/BAITC-Hacks/hack-dbc9c5ee-velocity"
"1368026229","VELTARQ","discovered","","","0","https://github.com/BAITC-Hacks/hack-8b6eaa99-veltarq"
"1379639227","VELTARQ","discovered","","","0","https://github.com/BAITC-Hacks/hack-5f51c84c-veltarq"
"1371838150","Vencera","discovered","","","0","https://github.com/BAITC-Hacks/hack-8d1507ba-vencera"
"1363968190","verify","discovered","","","0","https://github.com/BAITC-Hacks/hack-aa2f5347-verify"
"1366354309","Verissimus","discovered","","","0","https://github.com/BAITC-Hacks/hack-85a43815-verissimus"
"1379813983","Verissimus","ready","","3892e9e6a967f2ea5517d34d329a825e17734da2","5","https://github.com/BAITC-Hacks/hack-1a982715-verissimus"
"1374662098","veritas","ready","","f0904df8a763e296b1ac313fab345c7cafa1a795","3","https://github.com/BAITC-Hacks/hack-277a2398-veritas"
"1379857948","veritas","ready","","31e4b47bdf57c900a3df4f02be8b618988d2a256","1","https://github.com/BAITC-Hacks/hack-16b8b98f-veritas"
"1371991613","Verity","discovered","","","0","https://github.com/BAITC-Hacks/hack-ba9dc1f1-verity"
"1371309676","verstappen.com","discovered","","","0","https://github.com/BAITC-Hacks/hack-6e1d5b2d-verstappen-com"
"1371319792","verstappen.com","discovered","","","0","https://github.com/BAITC-Hacks/hack-fd8e6d17-verstappen-com"
"1379770452","verstappen.com","discovered","","","0","https://github.com/BAITC-Hacks/hack-f1455f96-verstappen-com"
"1361704290","Vertex","discovered","","","0","https://github.com/BAITC-Hacks/hack-9e7a5ced-vertex"
"1377588864","vibe coder","discovered","","","0","https://github.com/BAITC-Hacks/hack-ede9a8b1-vibe-coder"
"1373029967","Vibe Moggers","ready","","2be4b51fbe725851357ef678ce4ea8ec67a6e017","143","https://github.com/BAITC-Hacks/hack-1357219b-vibe-moggers"
"1371329385","VibeChillers","discovered","","","0","https://github.com/BAITC-Hacks/hack-3ad4294e-vibechillers"
"1374399544","VibeChillers","discovered","","","0","https://github.com/BAITC-Hacks/hack-e45a6b92-vibechillers"
"1372869612","VibeCode","ready","","4b4f8554e178675cd416154977362de7292e938c","1","https://github.com/BAITC-Hacks/hack-2f8aa3ea-vibecode"
"1377326126","VibeCodeVolki (VCV)","discovered","","","0","https://github.com/BAITC-Hacks/hack-66e72e5b-vibecodevolki-vcv"
"1350348344","VibeOps","discovered","","","0","https://github.com/BAITC-Hacks/hack-4a3a9b1c-vibeops"
"1372930253","Vibex","ready","","b6702e01775dbc1ed7223dfa437b5161a1ac65f7","1","https://github.com/BAITC-Hacks/hack-07fe891e-vibex"
"1381757547","VigesSvet","ready","","ba5f3e803a1777babd9417382c7d99edb54768be","1","https://github.com/BAITC-Hacks/hack-0ef9a1e4-vigessvet"
"1376077593","VILIS AI","discovered","","","0","https://github.com/BAITC-Hacks/hack-7c0507c8-vilis-ai"
"1355647366","VIP POLO","ready","","6c5c42d7ad4ce33c57d0e358ac8662f8915a2cb1","87","https://github.com/BAITC-Hacks/hack-12254b16-vip-polo"
"1378008192","VISION","discovered","","","0","https://github.com/BAITC-Hacks/hack-6e2a466f-vision"
"1369771262","Vision2026","discovered","","","0","https://github.com/BAITC-Hacks/hack-74a0463d-vision2026"
"1374682073","VisionCoach","ready","","3d7195757df47845884d033c704ec9817ecf5372","1","https://github.com/BAITC-Hacks/hack-06b06909-visioncoach"
"1379815913","visiontest","discovered","","","0","https://github.com/BAITC-Hacks/hack-6ce3f5c9-visiontest"
"1368308269","VitAI","discovered","","","0","https://github.com/BAITC-Hacks/hack-a4623d5f-vitai"
"1378213862","vivalet","discovered","","","0","https://github.com/BAITC-Hacks/hack-d9feb74b-vivalet"
"1381724832","vlad","discovered","","","0","https://github.com/BAITC-Hacks/hack-ad8273ed-vlad"
"1381629621","vladimir-yussupov81","discovered","","","0","https://github.com/BAITC-Hacks/hack-e8adfd2e-vladimir-yussupov81"
"1381751091","vladislav-pavlikov","discovered","","","0","https://github.com/BAITC-Hacks/hack-c16ebed6-vladislav-pavlikov"
"1380261420","Vneshtat","ready","","21ee5b98f120ef3b1e9aa6a1946ce33dae49797d","1","https://github.com/BAITC-Hacks/hack-0364b1b5-vneshtat"
"1381741880","Vodain","ready","","1d6e2f4772e7168f276f00712e53a6a909164eb8","1","https://github.com/BAITC-Hacks/hack-362d211d-vodain"
"1360332451","Volga Production","discovered","","","0","https://github.com/BAITC-Hacks/hack-875e970e-volga-production"
"1379676089","Volga Production","discovered","","","0","https://github.com/BAITC-Hacks/hack-d36aa7b9-volga-production"
"1375697238","Vozduhani","discovered","","","0","https://github.com/BAITC-Hacks/hack-5d164b2a-vozduhani"
"1376744946","vpadlu","ready","","a18cd7b542d857bd70b917b8c8bbc339a6a38f4d","1","https://github.com/BAITC-Hacks/hack-18b19bf0-vpadlu"
